1A_g_1	gi|502703631|ref|WP_012938904.1|	100.0	104	0	0	1	312	45	148	1.4e-52	213.4
1A_g_1	gi|548295868|ref|WP_022487311.1|	95.2	104	5	0	1	312	45	148	6.3e-50	204.5
1A_g_1	gi|496305701|ref|WP_009014879.1|	76.9	104	24	0	1	312	45	148	1.6e-37	163.3
1A_g_1	gi|545612574|ref|WP_021737026.1|	76.9	104	24	0	1	312	45	148	1.6e-37	163.3
1A_g_1	gi|545590387|ref|WP_021719074.1|	66.3	104	35	0	1	312	60	163	7.8e-32	144.4
1A_g_1	gi|640251861|ref|WP_024838435.1|	59.6	104	42	0	1	312	64	167	3.9e-31	142.1
1A_g_1	gi|652497344|ref|WP_026891801.1|	59.6	104	42	0	1	312	64	167	3.9e-31	142.1
1A_g_1	gi|652946583|ref|WP_027200060.1|	63.5	104	38	0	1	312	53	156	3.9e-31	142.1
1A_g_1	gi|512175583|ref|WP_016407542.1|	62.5	104	39	0	1	312	63	166	5.0e-31	141.7
1A_g_1	gi|495035531|ref|WP_007761064.1|	60.6	104	41	0	1	312	58	161	6.6e-31	141.4
1A_g_1	gi|763367597|ref|WP_044225059.1|	64.4	104	37	0	1	312	37	140	6.6e-31	141.4
1A_g_1	gi|547190088|ref|WP_021931869.1|	64.4	104	37	0	1	312	57	160	6.6e-31	141.4
1A_g_1	gi|495027009|ref|WP_007752584.1|	60.6	104	41	0	1	312	58	161	6.6e-31	141.4
1A_g_1	gi|547246962|ref|WP_021982680.1|	59.6	104	42	0	1	312	72	175	8.6e-31	141.0
1A_g_1	gi|488671842|ref|WP_002600632.1|	58.7	104	43	0	1	312	64	167	1.5e-30	140.2
1A_g_1	gi|505325642|ref|WP_015512744.1|	62.5	104	39	0	1	312	65	168	1.5e-30	140.2
1A_g_1	gi|764897050|ref|WP_044484421.1|	65.4	104	36	0	1	312	63	166	2.5e-30	139.4
1A_g_1	gi|524588781|emb|CDD12745.1|	65.4	104	36	0	1	312	60	163	2.5e-30	139.4
1A_g_1	gi|490138277|ref|WP_004038634.1|	63.5	104	38	0	1	312	63	166	3.3e-30	139.0
1A_g_1	gi|547200666|ref|WP_021941795.1|	56.7	104	45	0	1	312	63	166	3.3e-30	139.0
1A_g_1	gi|749182830|ref|WP_040108788.1|	59.6	104	42	0	1	312	65	168	3.3e-30	139.0
